waveform,frequency_hz,sample_rate_hz,samples_per_cycle,filter_cutoff_hz,band_upper_hz,raw_error_rms_mv,filtered_error_rms_mv,filter_delta_rms_mv,raw_peak_v,raw_min_v,filtered_peak_v,filtered_min_v
sawtooth,1,1000000,1000000,50,1,0.232639863210777,1.02722564127223,1.05341167967858,3.15010989010989,0.14989010989011,3.13089837648511,0.157107611604098
sawtooth,10,1000000,100000,200,10,0.232639733628549,152.624777622831,152.625079752848,3.15010989010989,0.14989010989011,3.10222380532125,0.167860946526428
sawtooth,100,1000000,10000,2000,100,0.232645589975311,153.052804835377,153.052918933203,3.14930402930403,0.14989010989011,3.10195340573917,0.167962147124129
sawtooth,1000,1000000,1000,20000,1000,0.232546790780215,157.042726208456,157.042229854342,3.14688644688645,0.14989010989011,3.09925866915723,0.168931065701444
sawtooth,10000,1000000,100,200000,10000,0.234260468209392,198.27777530598,198.291650047557,3.15010989010989,0.14989010989011,3.0722539651202,0.175964948607817
sawtooth,50000,1000000,20,450000,50000,0.24325212770483,308.05006289268,308.123117340905,3.15010989010989,0.14989010989011,2.89405789544849,0.220176291970777
sawtooth,100000,1000000,10,450000,100000,0.243527767596558,436.033588002821,436.12529282053,3.15010989010989,0.14989010989011,2.63803791252812,0.290471039232506
am,1,1000000,1000000,50,1.1,0.232354919562895,2.68808972242582,2.69839051522199,2.64564102564103,0.476263736263736,2.64486565227028,0.477269963432759
am,10,1000000,100000,84,10.5,0.23282466862693,31.7473323490952,31.7482570946899,3.13318681318681,0.151501831501831,3.09219926260043,0.193480155348555
am,100,1000000,10000,840,105,0.232852927195293,31.8634713104446,31.8635138853553,3.13318681318681,0.151501831501831,3.09200842137558,0.193668759773152
am,1000,1000000,1000,8400,1050,0.234588321578892,33.0210008594797,33.01754602687,3.13318681318681,0.151501831501831,3.09005553867969,0.19560588424849
am,10000,1000000,100,84000,10500,0.238733512905917,31.8485091575628,31.846001551866,3.14849816849817,0.151501831501831,3.08534971388185,0.214650261938982
am,50000,1000000,20,420000,52500,0.245938869810806,67.8568932859912,67.8506700766648,3.14849816849817,0.151501831501831,3.00596411167769,0.294033369331558
am,100000,1000000,10,450000,105000,0.259166221200802,200.789818588772,200.80109679225,3.07516483516484,0.224835164835165,2.66846380527563,0.631536326723911
fm,1,1000000,1000000,50,1.35,0.232597122923073,1.92948546979662,1.9445029126248,3.15010989010989,0.14989010989011,3.14817885056829,0.151773821437798
fm,10,1000000,100000,103.2,12.9,0.232604538348406,31.1463356256421,31.1491473587915,3.15010989010989,0.14989010989011,3.11563025476011,0.182789613858572
fm,100,1000000,10000,1032,129,0.23246189701293,31.3055944157661,31.3062783480026,3.15010989010989,0.14989010989011,3.11543061500237,0.182971401859792
fm,1000,1000000,1000,10320,1290,0.232706144594482,32.8808223549126,32.8800061090732,3.15010989010989,0.14989010989011,3.11344386632909,0.184838530924637
fm,10000,1000000,100,103200,12900,0.226666095824603,35.4750927505741,35.4746982849796,3.15010989010989,0.14989010989011,3.12403827964928,0.175961720350724
fm,50000,1000000,20,450000,64500,0.222175109694299,99.4990586255954,99.4965568331513,3.15010989010989,0.14989010989011,3.07200375012542,0.227996249874593
fm,100000,1000000,10,450000,124000,0.243760329219651,308.970417296503,308.989202640827,3.14849816849817,0.151501831501831,2.84625355573241,0.453766888646544
sinc,1,1000000,1000000,50,2,0.232611241694852,1.09184268787592,1.11628005386783,3.15010989010989,1.65040293040293,3.14969214471812,1.65748640225932
